Time elapsed pageRank: 0.011
Time elapsed R1: 0.002
Time elapsed R2: 0.001
Time elapsed R3: 0.003
Average Error R=1 K=10 0.008807327418856484
Average Error R=1 K=30 0.00554551325185605
Average Error R=1 K=50 0.004351232911114778
Average Error R=1 K=100 0.003584528712374296
Average Error R=3 K=10 0.006148029002190815
Average Error R=3 K=30 0.0038096908280523534
Average Error R=3 K=50 0.00274492116728984
Average Error R=3 K=100 0.0023170379651427427
Average Error R=5 K=10 0.00528430511613084
Average Error R=5 K=30 0.0029287764644129063
Average Error R=5 K=50 0.002242339895910287
Average Error R=5 K=100 0.0019528865293213969
